"date","count"
2018-05-03,4.73
2018-05-04,4.73
2018-05-05,4.73
2018-05-06,4.73
2018-05-07,4.73
2018-05-08,4.73
2018-05-09,4.73
2018-05-10,4.73
2018-05-11,4.73
2018-05-12,4.73
2018-05-13,4.73
2018-05-14,4.73
2018-05-15,4.73
2018-05-16,4.73
2018-05-17,4.73
2018-05-18,4.73
2018-05-19,4.73
2018-05-20,4.73
2018-05-21,4.73
2018-05-22,4.73
2018-05-23,4.73
2018-05-24,4.73
2018-05-25,4.73
2018-05-26,4.73
2018-05-27,4.73
2018-05-28,4.73
2018-05-29,4.73
2018-05-30,4.73
2018-05-31,4.73
2018-06-01,4.73
2018-06-02,4.73
2018-06-03,4.73
2018-06-04,4.73
2018-06-05,4.73
2018-06-06,4.73
2018-06-07,4.76
2018-06-08,4.76
2018-06-09,4.76
2018-06-10,4.76
2018-06-11,4.76
2018-06-12,4.76
2018-06-13,4.76
2018-06-14,4.76
2018-06-15,4.76
2018-06-16,4.76
2018-06-17,4.76
2018-06-18,4.76
2018-06-19,4.76
2018-06-20,4.76
2018-06-21,4.76
2018-06-22,4.76
2018-06-23,4.76
2018-06-24,4.76
2018-06-25,4.76
2018-06-26,4.76
2018-06-27,4.76
2018-06-28,4.76
2018-06-29,4.76
2018-06-30,4.76
